Customer ID,Recency,Frequency,Monetary,R,F,M,RFM_Score
12346.0,165,33,372.86,1,2,2,5
12347.0,3,71,1323.32,4,3,3,10
12348.0,74,20,222.16,2,2,1,5
12349.0,43,102,2671.14,3,3,4,10
12351.0,11,21,300.93,4,2,1,7
12352.0,11,18,343.8,4,1,2,7
12353.0,44,20,317.76,3,2,2,7
12355.0,203,22,488.21000000000004,1,2,2,5
12356.0,16,84,3562.25,4,3,4,11
12357.0,24,165,12079.99,3,4,4,11
12358.0,11,58,2719.01,4,3,4,11
12359.0,61,117,2563.36,2,4,4,10
12360.0,15,88,1590.83,4,3,3,10
12361.0,98,19,321.35,2,2,2,6
12362.0,374,1,130.0,1,1,1,3
12366.0,269,3,500.24,1,1,2,4
12368.0,264,18,917.6999999999999,1,1,3,5
12369.0,49,93,1791.15,3,3,4,10
12370.0,260,35,774.62,1,2,3,6
12371.0,45,104,2179.42,3,4,4,11
12373.0,260,37,763.0500000000001,1,2,3,6
12374.0,57,50,2246.29,2,3,4,9
12376.0,25,13,503.15,3,1,2,6
12377.0,17,75,1798.2,4,3,4,11
12378.0,198,82,1407.7,1,3,3,7
12379.0,58,41,767.98,2,2,3,7
12380.0,101,173,6951.49,2,4,4,10
12385.0,15,65,1938.4,4,3,4,11
12386.0,2,8,258.9,4,1,1,6
12387.0,51,9,143.94,3,1,1,5
12388.0,81,46,1120.45,2,3,3,8
12389.0,38,49,1433.33,3,3,3,9
12391.0,100,181,2312.53,2,4,4,10
12392.0,227,7,234.75000000000003,1,1,1,3
12393.0,18,43,816.85,4,2,3,9
12395.0,7,98,2048.64,4,3,4,11
12396.0,310,65,931.43,1,3,3,7
12399.0,21,51,853.65,3,3,3,9
12400.0,50,11,205.25,3,1,1,5
12402.0,28,59,1031.3,3,3,3,9
12403.0,157,4,591.6600000000001,1,1,2,4
12404.0,318,1,63.24,1,1,1,3
12406.0,35,61,2975.06,3,3,4,10
12408.0,21,54,1452.22,3,3,3,9
12409.0,56,155,12346.619999999999,2,4,4,10
12410.0,138,14,320.38,1,1,2,4
12411.0,45,22,346.9,3,2,2,7
12412.0,38,66,1370.05,3,3,3,9
12413.0,38,13,241.35,3,1,1,5
12414.0,99,10,390.0,2,1,2,5
12415.0,11,212,19543.84,4,4,4,12
12416.0,292,11,202.56,1,1,1,3
12417.0,46,178,3167.81,3,4,4,11
12418.0,49,68,1352.62,3,3,3,9
12419.0,21,25,503.01,3,2,2,7
12421.0,51,20,291.56,3,2,1,6
12422.0,30,133,4428.24,3,4,4,11
12423.0,23,40,763.08,3,2,3,8
12424.0,58,62,1579.07,2,3,3,8
12425.0,84,55,964.21,2,3,3,8
12426.0,298,47,762.48,1,3,3,7
12427.0,7,10,303.5,4,1,1,6
12429.0,1,76,3735.51,4,3,4,11
12431.0,9,170,4370.52,4,4,4,12
12433.0,2,286,7205.39,4,4,4,12
12434.0,17,20,297.29,4,2,1,7
12435.0,32,76,6096.04,3,3,4,10
12437.0,31,364,7731.99,3,4,4,11
12439.0,318,72,1158.18,1,3,3,7
12440.0,98,32,859.2,2,2,3,7
